Date,Mileage,Mileage in Period,Elapsed Days,Average Daily Mileage,Average Annual Mileage,Projected Mileage @ 20/12/2023,Weeks Remaining,Remaining Miles,Weekly Allowance
20/12/2019,0,0,0,0,0,0,0,40000,0
04/03/2020,3142,3142,75,41.89333333,15291,61164,198,36858,186.2
09/03/2020,3315,173,80,41.4375,15125,60499,197,36685,186.2
16/03/2020,3446,131,87,39.6091954,14457,57829,196,36554,186.5
23/03/2020,3612,166,94,38.42553191,14025,56101,195,36388,186.6
30/03/2020,3627,15,101,35.91089109,13107,52430,194,36373,187.5
06/04/2020,3751,124,108,34.73148148,12677,50708,193,36249,187.8
13/04/2020,3780,29,115,32.86956522,11997,47990,192,36220,188.6
20/04/2020,3841,61,122,31.48360656,11492,45966,191,36159,189.3
27/04/2020,3841,0,129,29.7751938,10868,43472,190,36159,190.3
04/05/2020,3873,32,136,28.47794118,10394,41578,189,36127,191.1
11/05/2020,3893,20,143,27.22377622,9937,39747,188,36107,192.1
18/05/2020,3916,23,150,26.10666667,9529,38116,187,36084,193.0
25/05/2020,3923,7,157,24.98726115,9120,36481,186,36077,194.0
01/06/2020,4015,92,164,24.48170732,8936,35743,185,35985,194.5
08/06/2020,4100,85,171,23.97660819,8751,35006,184,35900,195.1
15/06/2020,4274,174,178,24.01123596,8764,35056,183,35726,195.2
22/06/2020,4383,109,185,23.69189189,8648,34590,182,35617,195.7
29/06/2020,4533,150,192,23.609375,8617,34470,181,35467,196.0
06/07/2020,4671,138,199,23.47236181,8567,34270,180,35329,196.3
13/07/2020,4974,303,206,24.14563107,8813,35253,179,35026,195.7
20/07/2020,5031,57,213,23.61971831,8621,34485,178,34969,196.5
27/07/2020,5056,25,220,22.98181818,8388,33553,177,34944,197.4
03/08/2020,5056,0,227,22.27312775,8130,32519,176,34944,198.5
10/08/2020,5056,0,234,21.60683761,7886,31546,175,34944,199.7
17/08/2020,5125,69,241,21.26556017,7762,31048,174,34875,200.4
24/08/2020,5290,165,248,21.33064516,7786,31143,173,34710,200.6
31/08/2020,5349,59,255,20.97647059,7656,30626,172,34651,201.5
07/09/2020,5410,61,262,20.64885496,7537,30147,171,34590,202.3
14/09/2020,5522,112,269,20.52788104,7493,29971,170,34478,202.8
21/09/2020,5683,161,276,20.59057971,7516,30062,169,34317,203.1
28/09/2020,5821,138,283,20.56890459,7508,30031,168,34179,203.4
05/10/2020,5854,33,290,20.1862069,7368,29472,167,34146,204.5
12/10/2020,5966,112,297,20.08754209,7332,29328,166,34034,205.0
19/10/2020,6316,350,304,20.77631579,7583,30333,165,33684,204.1
26/10/2020,6402,86,311,20.585209,7514,30054,164,33598,204.9
02/11/2020,6515,113,318,20.48742138,7478,29912,163,33485,205.4
09/11/2020,6533,18,325,20.10153846,7337,29348,162,33467,206.6

